Date,Forecast_Price,Lower_Bound,Upper_Bound
2077,145.6822980684038,67.4490196084966,223.91557652831102
2078,146.14140427715412,67.1183384429507,225.16447011135756
2079,146.16119373626051,66.35834247721489,225.96404499530615
2080,146.12490732615302,65.5472447718227,226.70256988048334
2081,146.8685251772764,65.52423163075764,228.21281872379518
2082,146.755173613011,64.65277029246285,228.8575769335592
2083,146.66367028389118,63.80799985003799,229.51934071774437
2084,146.80917553261273,63.20802992356806,230.4103211416574
2085,146.34499927926623,62.005712807390154,230.6842857511423
2086,147.21635482330828,62.14370305875869,232.28900658785787
2087,146.70517193537898,60.89695340493381,232.51339046582416
2088,146.53928870333365,60.00223277659842,233.0763446300689
2089,146.4030495438309,59.14205918316604,233.66403990449572
2090,146.85911520196456,58.88128733373206,234.83694307019704
2091,146.8472055117642,58.157677964327306,235.53673305920108
2092,146.84672673416006,57.45087409427262,236.2425793740475
2093,147.5804136665745,57.484633713475105,237.67619361967388
2094,147.4463497353908,56.65539395606409,238.23730551471755
2095,147.385143725383,55.90423025254462,238.86605719822137
2096,147.5169401803157,55.35184873348574,239.68203162714565
2097,147.0407906556534,54.195980538487134,239.88560077281969
2098,147.93658138745874,54.417074067359025,241.45608870755848
2099,147.41023230703343,53.21254531022309,241.60791930384374
2100,147.2389925972716,52.367630478508275,242.11035471603492
2101,147.12153144380653,51.58147614171669,242.6615867458964
2102,147.5626025346485,51.35888395658539,243.76632111271164
2103,147.5500707034671,50.686222984973355,244.41391842196083
2104,147.56326735697192,50.044487009922506,245.08204770402133
2105,148.28318619486168,50.113951134943704,246.45242125477967
2106,148.15164904162754,49.33550393288182,246.96779415037327
2107,148.09975844256294,48.64158672391292,247.55793016121297
2108,148.21961346257504,48.123458628847274,248.3157682963028
2109,147.74786667066985,47.01726826784993,248.47846507348976
2110,148.6494233548498,47.28894027574374,250.00990643395585
2111,148.1132171293164,46.11844346618862,250.10799079244418
2112,147.94728248559014,45.32196688772741,250.57259808345287
2113,147.8328327372097,44.58140766938455,251.0842578050349
2114,148.26614496462275,44.392265580747335,252.14002434849817
2115,148.25911542217102,43.76575171086691,252.75247913347513
2116,148.27329453153885,43.164969914823246,253.38161914825446
2117,148.98740606906088,43.26742065560515,254.7073914825166
2118,148.86109167318787,42.53250326135344,255.1896800850223
2119,148.8087808465846,41.87577366828319,255.741788024886
2120,148.92453898755937,41.390152375771166,256.4589255993476
2121,148.45744374311076,40.32477689422876,256.59011059199275
2122,149.35769215634883,40.63060304676253,258.08478126593513
2123,148.8188143654077,39.49253785751998,258.14509087329543
2124,148.65681134168508,38.734655161312844,258.5789675220573
2125,148.54056852946715,38.02628980073828,259.054847258196
2126,148.97234176543537,37.86884342645159,260.07584010441917
2127,148.9684799377142,37.278350397550724,260.6586094778777
2128,148.9806814817433,36.707747537007066,261.25361542647954
2129,149.69411060903184,36.841033012320636,262.54718820574305
2130,149.57022795435122,36.139682391079546,263.0007735176229
2131,149.51596556730294,35.511483978157926,263.520447156448
2132,149.63165336619429,35.05572518196992,264.20758155041864
2133,149.16632687268606,34.02166866502415,264.31098508034796
2134,150.0647857559907,34.35465223578795,265.77491927619343
2135,149.52624397429497,33.245801072791,265.80668687579896
2136,149.36544379738945,32.51759644515832,266.21329114962055
2137,149.24765059380047,31.835612912550374,266.6596882750506
2138,149.68000118243918,31.70623476309042,267.65376760178793
2139,149.67688196674288,31.143613849539307,268.2101500839465
2140,149.68780502514525,30.598323722370054,268.7772863279205
2141,150.401926778635,30.758501791398544,270.04535176587143
2142,150.27842994508487,30.08337577060415,270.47348411956557
2143,150.22316225169214,29.479523276319227,270.96680122706505
2144,150.33956676501265,29.049478865698134,271.6296546643272
2145,149.8743636019849,28.04018729862929,271.7085399053405
2146,150.772070897455,28.396620335927807,273.14752145898217
2147,150.23420836956245,27.312671831181376,273.15574490794353
2148,150.07335033446185,26.608268106363596,273.5384325625601
2149,149.95502765813046,25.949226719255208,273.96082859700573
2150,150.38798248632392,25.84360908829983,274.932355884348
2151,150.38469096698233,25.303651127006333,275.46573080695833
2152,150.39526945442768,24.780463133703563,276.0100757751518
2153,151.10990139511586,24.96330670269839,277.2564960875333
2154,150.98617005588756,24.309788695496422,277.6625514162787
2155,150.93070456821664,23.72722885570829,278.134180280725
2156,151.04751972701538,23.318812585181618,278.77622686884916
2157,150.58205871575282,22.330179148008455,278.8339382834972
2158,151.47967910340043,22.70712135302219,280.25223685377864
2159,150.9421314770388,21.64412394240594,280.24013901167166
2160,150.78101945231475,20.959799393129202,280.60223951150033
2161,150.6626889954523,20.320802915857684,281.0045750750469
2162,151.09587258327727,20.23521076997406,281.9565343965805
2163,151.0923484728296,19.714555240327883,282.47014170533134
2164,151.10297161469867,19.210655802286794,282.99528742711055
2165,151.81775886569187,19.41265881432537,284.2228589170584
2166,151.69382623907194,18.77769140693087,284.609961071213
2167,151.6384364521049,18.213691770474725,285.0631811337351
2168,151.7553472468903,17.823629072547106,285.68706542123346
2169,151.28972041776976,16.852846355247834,285.7265944802917
2170,152.18743122857416,17.247649088843445,287.12721336830487
2171,151.64993302488293,16.202515565740725,287.0973504840251
2172,151.48869074679868,15.535632957343239,287.4417485362541
2173,151.37045364377175,14.914085436210343,287.8268218513332
2174,151.80365269610326,14.845650551411126,288.76165484079536
2175,151.8000313168239,14.341832509811013,289.25823012383677
2176,151.81074279761253,13.854724206813671,289.7667613884114
2177,152.5255221093582,14.073221904455238,290.9778223142612
2178,152.40152105709421,13.454488574197228,291.3485535399912
2179,152.34620975947553,12.906654455240385,291.78576506371064
2180,152.46309786694704,12.532467193592225,292.3937285403018
2181,151.9974265984417,11.577345834388694,292.4175073624947
2182,152.89520361233784,11.9877199975613,293.80268722711435
2183,152.35767474154648,10.958110423834995,293.7572390592579
2184,152.19640704527794,10.306562310314575,294.0862517802413
2185,152.07822317496533,9.700252062304116,294.45619428762654
2186,152.51138860891984,9.646789773243114,295.3759874445966
2187,152.5077561656041,9.157801222386496,295.8577111088217
2188,152.51850842399645,8.685381735396874,296.351635112596
2189,153.2332546808356,8.91832822224822,297.54818113942304
2190,153.1092527936631,8.313914377979216,297.904591209347
2191,153.05397108155466,7.78025039408422,298.32769176902514
2192,153.1708289591552,7.420016732824934,298.92164118548544
2193,152.70516362153734,6.478728639117577,298.9315986039571
2194,153.60296068807995,6.902782162896187,300.3031392132637
2195,153.0654056847126,5.886860294159277,300.24395107526595
2196,152.9041479127426,5.248875807891977,300.5594200175932
2197,152.78597635783473,4.6559853431858755,300.9159673724836
2198,153.2191202858953,4.615761178338147,301.82247939345245
2199,153.2154996466934,4.139908171018675,302.29109112236813
2200,153.2262582348542,3.6804559804613177,302.7720604892471
2201,153.9409876156893,3.926208317920043,303.95576691345855
2202,153.81699788762063,3.334495726604274,304.299500048637
2203,153.76171811227064,2.8133705032761895,304.7100657212651
2204,153.87856340188927,2.4655305020627623,305.2915963017158
2205,153.41290955268147,1.5365297399442284,305.2892893654187
2206,154.31070553308834,1.972715495827714,306.648695570349
2207,153.77314168714324,0.9689760738834252,306.57730730040305
2208,153.61189411052464,0.34305844619242976,306.88072977485683
2209,153.49371956908783,-0.23790113313370398,307.2253402713094
2210,153.92685776610568,-0.2663211423643759,308.1200366745758
2211,153.92324571738882,-0.7304695367415093,308.57696097151916
2212,153.93400029545697,-1.178368615820176,309.0463692067341
2213,154.64872641020523,-0.9211785962194483,310.21863141662993
2214,154.52474358263962,-1.501556037652108,310.55104320293134
2215,154.46945942431665,-2.0114874590386194,310.9504063076719
2216,154.586303305932,-2.348240729741576,311.5208473416056
2217,154.12065473701819,-3.2662586231486728,311.50756809718507
2218,155.01844641570668,-2.8192214398341093,312.85611427124746
2219,154.48088248407845,-3.812045771675372,312.77381073983224
2220,154.3196387336419,-4.427159315838111,313.06643678312196
2221,154.20146026332682,-4.997426394739506,313.4003469213932
2222,154.63459924762378,-5.015254493489152,314.2844529887367
2223,154.63098978786144,-5.468905940450185,314.7308855161731
2224,154.64174097328544,-5.906433535114729,315.1899154816856
2225,155.35646838892833,-5.638966228997191,316.35190300685383
2226,155.23248714714495,-6.20916235015099,316.67413664444086
2227,155.1772001996554,-6.7090288278289165,317.06342922713975
2228,155.29404562212102,-7.035806762810154,317.62389800705216
2229,154.8283978637367,-7.94394484281446,317.6007405702879
2230,155.72618735597064,-7.487135900014181,318.9395106119555
2231,155.18862500797522,-8.47012521031266,318.8473752262631
2232,155.02738149978117,-9.075504196970371,319.1302671965327
2233,154.90920140044418,-9.636127069658443,319.4545298705468
2234,155.3423418787586,-9.644398359131714,320.3290821166489
2235,155.33873227080875,-10.088577675900865,320.76604221751836
2236,155.34948231355577,-10.516737804995444,321.215702432107
2237,156.06421105349023,-10.239985724549172,322.3684078315296
2238,155.94022941865623,-10.800981744320694,322.6814405816332
2239,155.88494173211433,-11.291745762184235,323.0616292264129
2240,156.0017882692538,-11.609500461012544,323.61307699952016
2241,155.53613998654632,-12.50869892851378,323.5809789016064
2242,156.43392905915422,-12.043041642161256,324.9108997604697
2243,155.89636760564457,-13.01712261235997,324.8098578236491
2244,155.73512352605016,-13.613680938438193,325.08392799053854
2245,155.616943247602,-14.165558786661222,325.3994452818652
2246,156.0500844096453,-14.165162770764056,326.26533159005464
2247,156.0464742418938,-14.600747857684865,326.69369634147245
2248,156.0572242764604,-15.020403939939882,327.13485249286066
2249,156.77195351120548,-14.735221334692937,328.2791283571039
2250,156.6479713657607,-15.287859895263836,328.5838026267852
2251,156.59268378366744,-15.770351087076506,328.9557186544114
2252,156.70953065504676,-16.07990333705459,329.4989646471481
2253,156.24388193190123,-16.970971585275066,329.4587354490775
2254,157.14167117501054,-16.497263615009615,330.7806059650307
2255,156.60410992567728,-17.463236473531992,330.67145632488655
2256,156.44286548435485,-18.051762810995456,330.93749377970516
2257,156.32468540702942,-18.595673948869518,331.2450447629284
2258,156.75782667284162,-18.58738009437411,332.10303344005735
2259,156.75421622181958,-19.015130334865404,332.5235627785046
2260,156.7649664626348,-19.42703112834033,332.9569640536099
2261,157.47969572763634,-19.134158262367862,334.09354971764054
2262,157.35571337138404,-19.679169861170834,334.3905966039389
2263,157.30042598357582,-20.154108960218565,334.75496092737023
2264,157.41727283478662,-20.456171285884352,335.2907169554576
2265,156.95162396398456,-21.339812466293353,335.24306039426244
2266,157.8494133791044,-20.85874794007259,336.55757469828137
2267,157.3118520780544,-21.81730863103101,336.4410127871398
2268,157.15060754143204,-22.39848953463229,336.69970461749637
2269,157.03242760874002,-22.935112411334728,336.9999676288148
2270,157.46556880600224,-22.919591124725798,337.8507287367303
2271,157.4619583010729,-23.340168866562436,338.26408546870823
2272,157.4727086578344,-23.744968107594758,338.6903854232636
2273,158.18743784834692,-23.445051086265437,339.81992678295927
2274,158.06345546931934,-23.983074038689637,340.1099849773283
2275,158.0081681700429,-24.451091302489772,340.46742764257556
2276,158.12501494840652,-24.746286680667566,340.99631657748057
2277,157.65936607692393,-25.623116280553717,340.94184843440155
2278,158.55715555603186,-25.135303126010513,342.24961423807423
